country,2005,2006,2007,2008,2009,2010,2011,2012
Zambia,0.465,0.187,0.275,0.264,0.01,0.013,0.013,0.013
Zimbabwe,3.013,4.246,2.956,1.686,2.182,1.718,1.577,1.201
Asia & Oceania,24.002,27.901,31.265,31.7989,35.5007,43.047,46.099,48.86
Afghanistan,0.105,0.432,0.609,0.752,1.155,1.572,2.246,3.071
American Samoa,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0
Bhutan,0.034,0.011,0.007,0.016,0.02,0.02,0.02,0.02
Brunei,0,0,0,0,0,0,0,0
Burma (Myanmar),0,0,0,0,0,0,0,0
Cambodia,0.029,0.054,0.103,0.276,0.725,1.357,1.644,1.891
China,5.011,5.389,4.251,3.842,6.006,5.545,6.562,6.874
Cook Islands,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,--,--,--,--,--,--,--,--
Hong Kong,11.001,10.897,10.959,11.297,11.59,11.046,11.339,11.808
India,1.763,2.957,5.23,5.899,5.359,5.61,5.253,4.794
Indonesia,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0
Korea North,0,0,0,0,0,0,0,0
Korea South,0,0,0,0,0,0,0,0
Laos,0.326,0.325,0.467,0.515,0.819,0.998,0.748,1.127
Macau,0.341,0.965,1.683,2.3109,2.2267,2.787,3.165,3.855
Malaysia,0.002,0.004,0.003,0.105,0.014,0,0.372,0.105
Maldives,0,0,0,0,0,0,0,0
Mongolia,0.176,0.242,0.208,0.198,0.157,0.263,0.258,0.366
Nauru,0,0,0,0,0,0,0,0
Nepal,0.266,0.329,0.425,0.356,0.639,0.694,0.746,0.793
New Caledonia,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0
Pakistan,0.146,0.171,0.199,0.227,0.249,0.269,0.264,0.375
Papua New Guinea,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0,0
Taiwan,0,0,0,0,0,0,0,0
Thailand,4.419,5.159,4.491,2.785,2.439,7.287,10.682,10.527
Timor-Leste (East Timor),0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0
U.S. Pacific Islands,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0
Vietnam,0.383,0.966,2.63,3.22,4.102,5.599,2.8,3.254
Wake Island,0,0,0,0,0,0,0,0
World,616.08633,619.99278,632.34486,616.85986,588.39551,593.1875,649.905,682.0335
