country,2005,2006,2007,2008,2009,2010,2011,2012
Nauru,0,0,0,0,0,0,0,0
Nepal,0.097,0.077,0.06,0.046,0.075,0.03,0.004,0.004
New Caledonia,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0,0
Taiwan,0,0,0,0,0,0,0,0
Thailand,0.642,0.75,0.92,0.961,1.305,1.314,1.012,1.535
Timor-Leste (East Timor),0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0
U.S. Pacific Islands,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0
Vietnam,0,0,0,0,0.373,0.964,1.024,1.078
Wake Island,0,0,0,0,0,0,0,0
World,617.16403,617.76375,629.02162,615.15128,582.46664,587.77019,648.07576,668.269
